Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-13.6666666667,109.4,5,5,2
-10.0833333333,115.9666666667,0,4,0
-11.2666666667,109.95,1,0,0
-14.2166666667,109.4166666667,1,1,1
-0.4333333333,119.5,1,1,0
-13.5833333333,109.9166666667,0,4,6
-14.85,109.8333333333,0,1,0
-13.3,110.3166666667,2,3,4
-0.0166666667,118.85,4,1,0
-13.8333333333,110.5333333333,1,2,0
-0.0833333333,118.9333333333,2,0,0
-12.9833333333,110.9833333333,0,0,0
-9.9166666667,114.6666666667,1,2,0
-10.5166666667,113.65,0,2,0
-10.8333333333,114.7,3,0,0
-12.2333333333,116.8,1,2,8
-12.7,115.2333333333,0,3,1
-12.9666666667,117.0666666667,1,2,0
-11.3666666667,115.5,2,3,0
-12.7666666667,117.1333333333,1,2,0
-10.6666666667,115.4666666667,2,2,0
-11.85,117.1166666667,3,2,0
-10.1666666667,115.0833333333,0,4,0
-10.9833333333,117.2333333333,1,4,0
-10.55,117.4333333333,2,5,0
-10.3666666667,117.7166666667,1,0,0
-10.1333333333,117.3,4,1,0
-10.3166666667,116.4833333333,5,2,0
-10.1,116.1666666667,3,2,4
-11,117.7666666667,3,2,1
-9.9666666667,117.7666666667,2,6,0
-13.15,118.7833333333,2,4,0
-7.2666666667,118.9833333333,4,5,0
-13.25,118.75,3,2,0
-12.3166666667,116.7833333333,3,3,0
-7.75,116.7833333333,2,0,0
-13.7166666667,117.9833333333,0,2,3
-12.7666666667,116.2,3,4,0
-12.6333333333,113.6166666667,2,1,0
-12.9,115.5833333333,1,2,2
-10.8333333333,119.6666666667,0,9,0
-12.2166666667,113.0333333333,1,2,1
-12.8,115.95,0,4,3
-9.4833333333,118.4333333333,0,0,0
-9.6,112.8333333333,11,1,1
-10.6666666667,119.3333333333,1,7,0
-12.9666666667,112.5,0,0,0
-9.2166666667,118.6,2,1,0
-9.6666666667,122.9666666667,10,3,1
-10.5166666667,118.6333333333,0,2,1
-12.5,112,0,5,4
-12.5666666667,110.3333333333,0,1,3
-9.05,112.25,6,1,2
-9.7,123.05,5,0,0
-12.6666666667,112,3,7,0
-13.1166666667,110.2333333333,1,1,0
-8.6666666667,111.4,0,0,0
-10.8,120.0333333333,3,3,0
-9.9666666667,122.5166666667,6,0,0
-4.3,124.6166666667,7,0,0
-13.3333333333,109.5333333333,0,1,0
-10.2833333333,119.7666666667,0,0,0
-10.4666666667,112.3333333333,0,0,0
-12.8333333333,109.7,0,4,3
-11.8333333333,111.8333333333,1,6,1
-10.7,119.45,1,9,0
-10.4,116.1666666667,4,3,3
-12.8666666667,109.0333333333,0,2,0
-13.05,112,1,1,0
-10.55,119.4,2,6,0
-9.1416666667,118.4333333333,5,0,0
-10.7666666667,115.7,0,4,0
-9.4333333333,113.1666666667,4,0,0
-12.65,113.0333333333,2,0,0
-10.2666666667,118.3333333333,1,0,0
-10.6666666667,115.8,1,2,0
-8.9166666667,133.1166666667,1,1,0
-10.35,117.6833333333,9,0,0
-10.5833333333,116.0666666667,2,1,0
-10.1666666667,114.0333333333,2,0,0
-9.8166666667,117.2666666667,9,0,0
-10.1666666667,114.05,3,2,1
