Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-12.1666666667,117.7333333333,5,5,0
-12.0666666667,118.05,10,2,1
-11.6833333333,118.5833333333,12,4,0
-11.05,117.8666666667,8,0,0
-11.0333333333,119.0333333333,6,7,0
-11.3333333333,110.65,5,7,1
-14.1666666667,112.25,3,6,3
-14.25,112.5,5,5,9
-14,112.5,3,3,7
-13.6666666667,112.1666666667,2,2,3
-12.5166666667,112.3,4,1,3
-14.0833333333,113,4,6,2
-14.5166666667,112.4333333333,4,10,3
-14.8333333333,112.4666666667,3,6,3
-13.5333333333,113.3333333333,5,2,9
-11.0833333333,112.3666666667,1,7,0
-13.6666666667,117.5166666667,4,7,15
-13.05,117.25,7,2,1
-13.25,117.7,5,2,6
-13.5333333333,118.2333333333,5,5,11
-13.5,118.45,6,15,15
-13.0833333333,118.4166666667,4,23,10
-12.85,118.4166666667,2,13,11
-14.3333333333,112.9833333333,5,16,8
-14.8,112.5166666667,9,4,1
-14.0833333333,112.9333333333,6,7,6
-14.2666666667,111.7666666667,13,19,5
-14.6666666667,112.1,3,14,8
-14.6666666667,111.8833333333,12,11,10
-14.5666666667,111.7166666667,7,11,14
-13.6666666667,111.75,4,4,7
-11.0833333333,111.9,0,30,2
-11.45,112.0333333333,3,15,0
-13.7,112.6166666667,4,1,1
-13.7666666667,112.2833333333,10,4,5
-14.15,111.9833333333,2,8,5
-14.2333333333,113,5,9,10
-14.2666666667,112.2333333333,1,13,7
-14.1,112.05,5,6,16
-14.2833333333,112.2833333333,6,2,0
-11.8166666667,113.7166666667,1,9,1
-12.15,113.2166666667,0,15,1
-12.0333333333,119.7333333333,5,2,5
-12.45,119.1833333333,7,1,12
-13.3833333333,119.3666666667,3,10,13
-13.2333333333,119.15,2,8,11
-13.3166666667,118.7833333333,2,4,6
-13.6333333333,118.4666666667,5,7,8
-14.1,116.3333333333,3,4,6
-14.1833333333,117.0166666667,4,25,3
-11.45,113.9833333333,0,11,0
-11.0833333333,114.5833333333,0,2,0
-11.9,117.55,7,2,0
-12.5666666667,119.45,2,20,0
-12.9833333333,119.9666666667,7,6,15
-12.6833333333,120.4833333333,0,0,0
-13.2166666667,118.9,3,9,8
-13.3,118.4333333333,3,9,8
-13.5166666667,117.3666666667,3,9,6
-12.1666666667,115.75,1,11,4
-11.2333333333,113.4833333333,2,3,0
-11.3166666667,113,0,2,0
-14.3333333333,112.1833333333,2,1,0
-14,111.6666666667,1,10,3
-14.5333333333,111.5,3,9,1
-14.6333333333,111.2833333333,5,10,3
-14.5,111.0333333333,2,4,2
-14.4833333333,112.7166666667,0,4,2
-13.75,110.6166666667,1,5,6
-14.3333333333,111.4,6,19,3
-14.3333333333,111.35,0,0,0
-14.2,112.1666666667,9,12,12
-14.25,112.3,4,4,9
-14.7333333333,112.1666666667,5,11,4
-14.2,112.3833333333,1,1,0
-13.8166666667,112.4333333333,5,4,8
-11.2666666667,111.9,0,21,0
-13.2333333333,109,6,5,13
-13.9666666667,109.7,2,2,9
-12.4833333333,110.5833333333,6,1,17
-14.5333333333,116.7666666667,3,11,9
-14.4833333333,116.8166666667,1,2,0
-14.2333333333,117.4166666667,5,4,8
-11.2833333333,118.0166666667,6,4,0
-11.05,117.8333333333,4,7,0
-14.0166666667,110.7833333333,2,21,7
-14.1333333333,110.5833333333,7,15,0
-14.1166666667,110.45,2,1,0
-13.7166666667,109.9833333333,4,21,2
-13.5,109.9,9,18,10
-13.0166666667,109.7166666667,13,17,3
-13.0666666667,109.3,0,0,0
-12.2666666667,109.4333333333,8,10,4
-12.0166666667,109.3833333333,3,5,9
-11.6333333333,109.45,6,7,5
-11.5333333333,114.2666666667,1,2,0
-12.5333333333,113.2166666667,1,7,0
-12.45,113.2166666667,1,2,2
-12.8666666667,113.3833333333,4,3,4
-13.4333333333,113.3666666667,8,3,7
-13.3666666667,114.3333333333,3,8,10
-13.6333333333,114.0166666667,0,10,8
-10.2166666667,122.25,8,3,0
-10.15,122.8333333333,14,2,0
-10.3333333333,125.05,1,0,0
-10.9666666667,125.5166666667,10,2,0
-10.35,125.4333333333,15,1,0
-11.1833333333,112.8333333333,1,3,0
-10.35,125.4333333333,15,1,0
-11.3333333333,113.5,0,7,0
-14.6666666667,112.1,1,10,2
-14.4833333333,111.95,8,4,4
-14.6833333333,111.75,9,10,3
-14.4333333333,111.65,5,1,3
-14.9666666667,111.95,16,2,2
-14.8,111.5833333333,4,3,0
-13.25,117.8333333333,6,16,1
-13.1166666667,117.5333333333,5,4,3
-13.3,118.5333333333,8,4,2
-14.1666666667,117.7,7,5,9
-14.4166666667,116.9,5,18,15
-14.4833333333,116.8166666667,5,13,9
