Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-14.4666666667,115.5,2,9,5
-14.1,115.1666666667,1,7,0
-11.6333333333,118.2333333333,0,6,0
-12.1333333333,117.6666666667,0,5,0
-13,113.6166666667,0,9,1
-12.5,113.1,1,6,0
-11.45,113.1666666667,1,1,0
-12.25,114.2833333333,0,8,0
-11.9166666667,115.2,1,4,0
-11.1666666667,114.9666666667,0,3,0
-10.3333333333,124.6666666667,18,0,0
-10.7166666667,124.6166666667,6,1,0
-10.8166666667,123.7666666667,8,2,0
-12.0333333333,119.2333333333,2,1,0
-12.7833333333,119.7166666667,20,1,0
-10.1,122.0333333333,3,2,0
-11.8333333333,117.5666666667,1,5,0
-12.2166666667,117.15,1,5,0
-11.95,116.8833333333,7,4,1
-12.1166666667,116.7666666667,1,0,0
-13.7833333333,118.4166666667,1,10,10
-13.8,117.2,3,8,10
-14.2166666667,117.4333333333,0,17,10
-13.9666666667,117.1,1,16,4
-14.1833333333,117.2833333333,0,4,7
-13.3666666667,117.4166666667,3,7,3
-13.3333333333,117.45,0,17,2
-11.1333333333,116.45,1,11,0
-11.25,115.9166666667,1,3,0
-11.2833333333,116.4666666667,2,1,0
-12.9166666667,118.45,2,4,0
-12.6333333333,118.2333333333,7,6,0
-13.0833333333,118.7333333333,1,0,1
-12.1166666667,118.4666666667,1,0,2
-12.6666666667,118.1666666667,3,4,2
-12.55,118.4166666667,4,1,0
-12.15,117.9166666667,1,0,0
-11.7,118.6,0,1,0
-11.9333333333,117.25,0,2,0
-12.75,119.25,5,5,0
-12.5166666667,119.9666666667,2,6,0
-14.4166666667,113.55,5,1,6
-13.9166666667,113.95,1,2,8
-14.8,113.9666666667,1,5,1
-13.5166666667,112.6,0,2,7
-12.0666666667,112.7833333333,1,9,8
-12.65,111.3333333333,3,5,6
-12.6666666667,110.5666666667,1,0,5
-12,113.4166666667,1,1,0
-11.0833333333,113.25,9,0,3
-12.1666666667,111.7666666667,2,3,1
-12.45,111.0666666667,2,6,0
-12.9333333333,111.0666666667,1,4,2
-12.7166666667,110.0666666667,1,1,1
-13.9166666667,110.8166666667,2,9,0
-13.2166666667,111.1,0,3,0
-13.1,116.3666666667,0,9,0
-13.1333333333,116.3833333333,0,4,0
-13.3666666667,116.1666666667,0,4,0
-13.7166666667,115.3333333333,0,8,3
-14.3,115.8333333333,0,15,7
-14.3333333333,115.9833333333,1,3,0
-13.65,115.75,1,9,0
-13.3833333333,115.9333333333,1,5,0
-13.2,113.1833333333,1,2,14
-11.8,113.0166666667,4,8,3
-11.9666666667,113,0,4,2
-12.1333333333,116.7,1,3,5
-11.8833333333,116.8666666667,2,0,2
-12.2166666667,117,2,7,30
-12.35,117.1666666667,5,8,25
-12.4333333333,117.2166666667,6,6,8
-12.35,117,1,8,4
-12.35,117.1833333333,7,9,14
