Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-14.2333333333,114.7166666667,2,2,6
-14.15,113.9333333333,0,2,0
-14.25,113.3333333333,1,4,3
-14.4166666667,113.1333333333,1,0,0
-11.5833333333,116.2333333333,1,10,2
-11.4833333333,116.2,0,0,0
-12.4333333333,117.2,2,2,1
-11.5833333333,115.9166666667,0,5,0
-12.3166666667,114.9,0,1,0
-13.75,112.8,3,10,27
-13.7666666667,112.7666666667,1,7,7
-14.3666666667,112.15,4,12,13
-13.5166666667,112.3,3,4,6
-12.95,112.3,4,17,9
-13.1333333333,111.3166666667,0,6,13
-11.1833333333,112.5166666667,2,3,4
-11.25,113.3333333333,1,14,0
-11.25,113.5166666667,6,4,1
-11.7666666667,113.6833333333,1,4,1
-11.4833333333,113.5166666667,0,5,8
-11.3,114,2,9,3
-11.4333333333,114.6333333333,1,0,0
-12.9333333333,115.4333333333,1,9,1
-13.05,115.2666666667,0,1,1
-12.8166666667,115.4833333333,1,5,1
-12.3666666667,116.3833333333,3,0,0
-11.45,116.6,1,4,0
-14.4333333333,115.8333333333,1,12,3
-14.3166666667,116.2833333333,2,7,0
-14.2666666667,116.05,0,0,0
-14.0666666667,115.3,3,5,2
-14.2,114.9666666667,1,2,8
-13.7833333333,115.05,0,6,3
-10.8333333333,123.6666666667,5,4,0
-10.7333333333,123.7833333333,6,2,0
-10.6833333333,123.7166666667,14,2,0
-10.6666666667,124.6666666667,10,2,0
-11,123.25,9,1,0
-11,123.4666666667,15,0,0
-13.45,114.2333333333,0,0,0
-14.4166666667,113.6666666667,2,2,11
-14.6166666667,113.7833333333,0,1,7
-13.9333333333,112.6333333333,0,4,4
-13.0166666667,113.5333333333,1,4,3
-13.9166666667,114.4666666667,1,6,6
-13.7833333333,113.1666666667,1,2,5
-14.3666666667,113.0333333333,0,1,1
-14.5,112.6,3,3,2
-14.35,113.2333333333,1,0,0
-13.5333333333,111.95,2,1,5
-12.3833333333,112.1,0,3,0
-12.15,112.9,1,0,0
-11.0333333333,112.2833333333,2,2,2
-11.55,112.3333333333,1,5,0
-11.6166666667,112.6833333333,2,0,3
-11.0333333333,118.7,4,4,11
-11.15,118.25,2,9,3
-11.6666666667,118.8166666667,2,2,7
-12.0333333333,120.8,4,0,23
-11.1666666667,120.4166666667,1,3,9
-10.15,125.2,3,3,0
-10.0333333333,124.95,2,1,0
-13.8666666667,116.1,2,11,1
-13.7666666667,116.1,0,12,0
-13.65,117.1,1,2,0
-14.2333333333,116.2333333333,0,12,1
-14.25,116.0833333333,2,15,0
-14.2333333333,115.8666666667,1,8,1
-14.6833333333,116.1833333333,2,8,11
-13.5833333333,118.3833333333,1,10,15
-13.4666666667,118.5833333333,1,10,10
-14.4666666667,115.5,2,9,5
-14.1,115.1666666667,1,7,0
-11.6333333333,118.2333333333,0,6,0
-12.1333333333,117.6666666667,0,5,0
-13,113.6166666667,0,9,1
-12.5,113.1,1,6,0
-11.45,113.1666666667,1,1,0
-12.25,114.2833333333,0,8,0
-11.9166666667,115.2,1,4,0
-11.1666666667,114.9666666667,0,3,0
-10.3333333333,124.6666666667,18,0,0
-10.7166666667,124.6166666667,6,1,0
-10.8166666667,123.7666666667,8,2,0
-12.0333333333,119.2333333333,2,1,0
-12.7833333333,119.7166666667,20,1,0
-10.1,122.0333333333,3,2,0
-11.8333333333,117.5666666667,1,5,0
-12.2166666667,117.15,1,5,0
-11.95,116.8833333333,7,4,1
-12.1166666667,116.7666666667,1,0,0
-13.7833333333,118.4166666667,1,10,10
-13.8,117.2,3,8,10
-14.2166666667,117.4333333333,0,17,10
-13.9666666667,117.1,1,16,4
-14.1833333333,117.2833333333,0,4,7
-13.3666666667,117.4166666667,3,7,3
-13.3333333333,117.45,0,17,2
-11.1333333333,116.45,1,11,0
-11.25,115.9166666667,1,3,0
-11.2833333333,116.4666666667,2,1,0
-12.9166666667,118.45,2,4,0
-12.6333333333,118.2333333333,7,6,0
-13.0833333333,118.7333333333,1,0,1
-12.1166666667,118.4666666667,1,0,2
-12.6666666667,118.1666666667,3,4,2
-12.55,118.4166666667,4,1,0
-12.15,117.9166666667,1,0,0
-11.7,118.6,0,1,0
-11.9333333333,117.25,0,2,0
-8.7,128.9333333333,7,9,0
-8.6166666667,129.0166666667,3,7,0
-8.65,128.8166666667,8,13,0
-9.7166666667,126.7833333333,11,4,0
-9.8,126.6166666667,7,3,0
-9.2666666667,126.85,5,5,0
-9.05,127.1,6,5,0
-8.8833333333,127.4833333333,7,5,0
-8.8833333333,127.7166666667,6,0,0
-9.6333333333,128.2166666667,7,5,0
-8.5333333333,128.0666666667,9,4,0
-7.7,119.0166666667,2,2,0
-8.1333333333,119.75,2,2,0
-7.9833333333,120.2166666667,2,2,0
-8.0333333333,119.3,3,1,0
-7.95,119.4666666667,12,1,0
-7.9333333333,119.5833333333,1,1,0
-8.0833333333,119.6666666667,3,2,0
-7.8833333333,119,3,4,0
-7.95,119.5833333333,3,1,0
-7.75,118.1666666667,15,0,0
-7.8833333333,118.45,9,0,0
-9.8666666667,118.75,4,1,0
-7.8333333333,118.2833333333,5,1,0
-10.6,119.2666666667,6,3,0
-10.9666666667,118.2333333333,1,5,4
-10.6333333333,117.55,3,6,0
-10.4,116.7,2,13,3
-10,117,3,4,1
-10.3,116.3666666667,1,8,0
-10.2166666667,116.5333333333,1,10,0
-10.1,116.7,2,11,0
-9.9666666667,116.45,4,23,0
-10.1833333333,116.1166666667,2,12,4
-9.7666666667,116.0833333333,5,2,0
-10.0333333333,116,1,7,7
-10.1333333333,116.15,1,7,7
-10.1,116.1666666667,10,4,6
-10.25,116.5333333333,2,3,7
-9.85,115.9166666667,4,3,6
-9.8333333333,116.65,1,10,19
-9.8166666667,116.5666666667,2,4,9
-10.2666666667,116.05,1,5,14
-10.4166666667,111.3166666667,2,6,2
-10.7166666667,111.4333333333,1,0,4
-10.3333333333,116.6833333333,3,12,0
-9.7666666667,116.2666666667,0,5,0
-10.7833333333,116.8666666667,3,10,1
-10.1666666667,116.1333333333,5,3,0
-10.3666666667,116.35,5,5,1
-10.2166666667,116.3833333333,2,9,2
-10.2166666667,116.0666666667,6,4,0
-9.5666666667,115.8,2,1,3
-9.8,116.8166666667,0,15,5
-10.0166666667,116.6833333333,2,11,2
-8,119.4166666667,12,4,0
-7.7833333333,119.4166666667,0,4,0
-7.7833333333,119.1833333333,4,3,0
-7.7833333333,119.15,6,3,0
-7.95,119.3833333333,4,9,0
-9.9166666667,124.9166666667,9,8,0
