Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-7.9,116.8333333333,14,2,0
-7.9666666667,116.7833333333,23,2,0
-7.4166666667,120.4833333333,12,1,0
-7.8666666667,116.8333333333,20,0,8
-7.1,120.0166666667,20,6,0
-7.8666666667,117.3333333333,24,0,0
-7.8666666667,117.5833333333,20,2,0
-8.0333333333,117.9,2,0,0
-7.85,116.6666666667,18,2,0
-8.0333333333,117.1,23,0,0
-7.9166666667,118.0833333333,8,2,0
-7.05,119.85,13,0,0
-7.9,116.6333333333,15,0,0
-7.9,116.9166666667,20,1,0
-7.9333333333,116.5666666667,0,0,0
-7.9666666667,117.5833333333,13,0,0
-7.6333333333,117.4833333333,24,2,0
-8.0833333333,116.9333333333,1,0,0
-8.0666666667,117.2,15,1,0
-7.3833333333,120.1666666667,7,0,0
-8.0666666667,116.6,10,1,0
-7.75,117.6,15,3,0
-8.0333333333,117.3833333333,9,0,0
-7.65,117.5,13,2,0
-7.85,117.5666666667,5,0,0
-7.85,117.5666666667,4,0,0
-7.73,115.7666666667,13,0,0
-8.0333333333,115.7666666667,14,1,0
-7.6333333333,115.9666666667,15,3,0
-7.9166666667,117.4166666667,8,8,0
-8,117.3333333333,16,11,0
-7.8333333333,116.3333333333,2,1,0
-8.0333333333,117.3333333333,16,1,0
-8,117.2833333333,19,3,0
-7.9333333333,117.51,16,0,0
-7.9166666667,117.3333333333,12,2,0
-7.6833333333,115.9666666667,9,0,0
-7.9833333333,117.6,16,2,0
-7.7,117.6333333333,13,9,0
-7.9833333333,117.4333333333,17,0,0
-8.0333333333,117.1833333333,2,0,0
-7.8,118.1,7,1,0
-8.0333333333,118.1,16,1,0
-8.1666666667,117.2833333333,7,0,0
-7.85,117.3833333333,22,4,0
-8,117.55,17,25,0
-8.0333333333,117.5,1,0,0
-7.15,119.8833333333,28,0,0
-7.9333333333,117.7166666667,28,0,0
-7.9,117.7166666667,14,1,0
-8,117.5,26,3,0
-7.9666666667,116.8,3,0,0
-7.75,117.55,18,2,0
-7.9666666667,117.25,4,0,0
-7.85,118,23,1,0
-7.9666666667,117.9333333333,5,0,0
-7.35,118.7833333333,31,3,0
-7.9333333333,118,19,0,0
-7.95,117.55,24,5,0
-6.9666666667,119.5666666667,5,3,0
-7.8166666667,117.5,24,4,0
-7.7333333333,117.45,15,0,0
-7.8,117.8166666667,20,1,0
-7.4166666667,120.7,4,3,0
-7.9666666667,118.3,3,0,0
-7.3333333333,118.6666666667,28,3,0
-7.7833333333,117.5,26,0,0
-7.8333333333,117.8833333333,13,1,0
-7.7166666667,117.85,38,0,0
-7.7166666667,117.55,24,2,0
-7.8,118.3333333333,20,2,0
-6.8666666667,119.7333333333,12,3,0
-8.1,118.9166666667,4,0,0
-7.4,118.5833333333,20,0,0
-7.75,117.6833333333,19,2,0
-7.8333333333,117.85,14,2,0
-7.1666666667,119.25,24,11,0
-7.7416666667,117.7833333333,8,2,0
-7.65,117.2333333333,14,1,0
-7.7166666667,117.7833333333,16,2,0
-8.1666666667,120.3333333333,6,0,0
-7.95,118.1,1,0,0
-7.4333333333,118.55,35,0,0
-8,117.2,2,0,0
-7.85,117.7666666667,12,0,0
-7.5833333333,118.85,19,1,0
-7.6333333333,117.5,5,3,0
-7.75,117.6166666667,15,2,0
-7.8666666667,117.35,4,1,0
-7.4166666667,118.5833333333,16,0,0
-7.9,117.4833333333,10,0,0
-7.9,118.3333333333,7,2,0
-7.8833333333,116.7333333333,14,0,0
-7.55,119.05,14,0,0
-8.0333333333,117.05,8,0,0
-7.8333333333,117.9166666667,20,1,0
-8.0833333333,117.0833333333,2,0,0
-10.9833333333,111.5833333333,7,3,0
-7.7333333333,119.15,10,1,0
-7.75,116.5,1,0,0
-7.95,117.9666666667,15,4,0
-7.9666666667,116.4,2,0,0
-10.6666666667,111.9,2,2,0
-7.8333333333,118.0666666667,15,2,0
-8.05,117.3833333333,4,0,0
-8.0666666667,116.9666666667,1,0,0
-11.25,111.3666666667,6,0,0
-7.9166666667,118.2333333333,18,0,0
-7.9,118.1166666667,9,1,0
-7.95,118.1166666667,4,0,0
-7.95,117.2,1,0,0
-12,110.6,2,8,1
-7.85,118.3333333333,13,0,0
-8.1166666667,118.2833333333,14,0,0
-7.8833333333,117.35,2,0,0
-7.9166666667,118.75,8,0,0
-11.5666666667,111,9,5,0
-11.6833333333,110.5,3,3,0
-8.1666666667,118.3333333333,17,3,0
-7.9,117.6,8,1,0
-7.95,117.4666666667,12,0,0
-11.2833333333,110.8,1,1,0
-7.9666666667,118.9,14,13,0
-7.8666666667,120.525,12,4,0
-7.7333333333,117.8,10,2,0
-11.7166666667,110.8166666667,2,2,0
-8.1333333333,118.5333333333,15,2,0
-7.9,117.5,9,0,0
-7.8833333333,117.5,8,0,0
-12.0333333333,111.7166666667,0,4,2
-8.0333333333,119.1,18,17,0
-7.7333333333,120.9166666667,4,1,0
-7.7833333333,118.05,27,4,0
-11.5833333333,111.1666666667,2,3,2
-8.0833333333,118.35,24,0,0
-8.0166666667,118.5,23,1,0
-7.9,118.6333333333,21,0,0
-7.5,120.7833333333,10,2,0
-7.7166666667,118.7833333333,34,1,0
-11.9166666667,111.9833333333,0,9,2
-11.35,112.0666666667,2,8,0
-9.3333333333,116.2666666667,18,1,1
-8.15,118.55,28,0,0
-7.9833333333,118.4166666667,28,2,0
-8.0166666667,118.4333333333,33,5,0
-12.05,113.65,1,5,0
-7.8833333333,118.9666666667,26,1,0
-8.05,120.4833333333,6,0,0
-7.4666666667,118.5666666667,30,1,0
-11.4166666667,112,0,5,0
-9.3333333333,116.5333333333,6,1,0
-8.0833333333,118.4666666667,15,1,0
-7.9833333333,117.4833333333,3,0,0
-7.9,118.4,5,0,0
-7.9333333333,118.35,12,1,0
-11.7166666667,112.0666666667,3,11,0
-7.6333333333,119,22,3,0
-7.85,118.35,1,0,0
-11.0833333333,112.4166666667,1,2,0
-9.7666666667,116.2333333333,2,2,0
-7.8666666667,118.05,0,0,0
-7.7333333333,118.55,4,0,0
-11.6666666667,112.0666666667,1,9,0
-7.65,118.8666666667,30,0,0
-7.6,119.0833333333,6,0,0
-7.9166666667,118,2,0,0
-11.7,112.9666666667,3,2,1
-9.2333333333,116.6666666667,0,0,0
-10.1,116.9666666667,1,2,0
-7.5333333333,118.8833333333,19,0,0
-14.8333333333,113.5,8,3,0
-10.3166666667,117.75,0,0,0
-11.9833333333,111.9,1,11,0
-7.2666666667,118.9166666667,0,20,0
-7.5,119.0666666667,33,1,0
-9.0333333333,118.0166666667,5,2,0
-7.4166666667,118.55,18,0,0
-10.275,118.5833333333,5,2,0
-11.7,111.4833333333,7,0,0
-7.2833333333,118.9666666667,34,3,0
-9.8,118.6333333333,13,0,0
-7.3333333333,118.45,20,0,0
-12.15,112.85,6,7,1
-14.3333333333,112.35,0,1,0
-10.6333333333,118.7333333333,6,1,0
-7.1333333333,119.0833333333,24,2,0
-9.2166666667,118.45,7,0,0
-13,112.4166666667,2,3,2
-14.1666666667,111.6333333333,0,0,1
-10.7833333333,118.9666666667,2,2,0
-7.2666666667,118.9166666667,31,1,0
-9.4833333333,117.4666666667,0,0,0
-11.5666666667,111.7333333333,2,7,1
-15.2833333333,111.95,0,0,2
-11.75,119.7833333333,3,5,2
-11.4,119.2833333333,3,0,0
-7.3166666667,118.7833333333,23,0,0
-9.6666666667,116.4666666667,1,0,0
-11.8333333333,112.0333333333,7,2,0
-11.6666666667,120.0166666667,4,6,2
-10.47,118.0333333333,3,2,0
-7.3333333333,118.5333333333,10,0,0
-11.5333333333,111.5833333333,2,4,2
-11.5833333333,110.6,2,1,0
-11.6,115,0,6,0
-11.6166666667,120.1333333333,10,0,0
-11,117.2666666667,0,4,0
-12.1,111.9,6,6,0
-7.8166666667,117.8166666667,5,0,0
-10.5166666667,111.8166666667,0,3,0
-13.3333333333,114.8333333333,2,5,0
-11.6166666667,120.3333333333,9,9,0
-10.9166666667,116.7666666667,1,0,0
-12.4833333333,110.5333333333,2,4,2
-8.0333333333,118.55,6,0,0
-11.625,112.3833333333,0,4,0
-13.3166666667,114.8,0,5,0
-11.5833333333,120.3416666667,7,2,0
-10.25,116.8333333333,0,0,0
-10.6666666667,112.3833333333,8,0,0
-12.5166666667,110.9,2,4,1
-8.0333333333,119.2666666667,7,1,0
-12.9666666667,118.1666666667,0,3,0
-11.95,112.5166666667,0,1,0
-13.1666666667,114.5333333333,0,6,0
-11.6333333333,120.4666666667,3,2,0
-10.5833333333,112.4666666667,0,7,0
-12.3666666667,110.2333333333,0,10,1
-7.5,119,18,0,0
-12.1666666667,119.25,0,1,2
-10.8333333333,112.7666666667,3,4,0
-12.9583333333,113.9,0,5,0
-11.95,120.5,4,3,2
-13,113.4666666667,0,5,0
-10.5833333333,112.6166666667,2,7,0
-12.5166666667,110.15,2,16,2
-7.2833333333,119,1,1,0
-11.6666666667,119.9333333333,1,4,0
-10.8666666667,119.55,3,3,0
-13.35,113.4666666667,2,1,0
-10.25,112.5666666667,0,5,0
-12.5666666667,110.0666666667,0,7,0
-7.6333333333,118.6,1,0,0
-11.3166666667,119.6,3,5,1
-9.2,109.95,3,0,0
-10.45,119.0666666667,0,3,0
