Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-13.0333333333,120.1833333333,20,0,0
-13.15,120.15,0,10,0
-13.1666666667,120.1333333333,15,0,0
-13.1833333333,119.8,1,7,0
-13.25,119,0,5,0
-12.2,120.0333333333,5,0,0
-12.8666666667,120.2,0,17,0
-12.9666666667,120.3333333333,0,7,0
-12.3333333333,120.5833333333,2,7,0
-12.0666666667,119.7,0,5,0
-12.4833333333,113.6833333333,4,7,0
-12.35,114.4666666667,9,5,0
-12.55,114.75,0,9,3
-11.7333333333,114.8833333333,0,6,3
-12.4666666667,114.2,0,6,0
-12.65,113.9833333333,12,7,0
-12.8166666667,113.5833333333,4,6,0
-12.6,113.6833333333,0,3,2
-12.5166666667,115.4,0,2,2
-12.2,115.8666666667,0,3,0
-12.7166666667,116.8666666667,8,5,0
-11.85,117.2666666667,3,2,0
-12.1833333333,117.7333333333,5,6,0
-11.9833333333,117.7833333333,2,7,0
-11.7166666667,117.5833333333,2,13,0
-11.8,117.45,3,2,0
-12.0166666667,114.3,2,15,0
-11.8666666667,114.0833333333,18,15,0
-14,115.1166666667,2,7,9
-13.8333333333,115.25,0,7,0
-13.4666666667,115.25,3,6,7
-13.3333333333,115.3,3,12,0
-13.1333333333,114.8333333333,29,12,11
-11.3166666667,114.95,0,4,0
-14.1166666667,115,10,0,9
-13.9166666667,114.2666666667,2,5,0
-13.7666666667,112.9,5,7,0
-13.9333333333,113.0833333333,0,5,0
-13.2,112.2833333333,5,7,2
-12.85,116.3666666667,8,8,0
-12.1166666667,116.3,0,3,0
-13.25,120,10,0,0
-13.1333333333,120.4333333333,3,0,0
-12.4833333333,120.5,12,0,0
-12.4666666667,114.9833333333,5,13,0
-12.4666666667,114.85,10,7,0
-12.2,114.7166666667,2,12,0
-12.1833333333,114.5,5,15,0
-12.2166666667,114.45,2,12,0
-12.35,114.4166666667,2,14,4
-12.15,114.8333333333,2,14,4
-13.0166666667,113.2,8,2,0
-13.8666666667,113.3333333333,4,4,0
-14.45,113.3333333333,2,2,2
-13.9,110.1166666667,2,3,0
-13.5833333333,110.0166666667,2,6,0
-14,110.5833333333,2,3,12
-13.0833333333,111.45,2,3,5
-12.55,119.2833333333,6,2,0
-12.8833333333,120,0,4,0
-13.3333333333,120.8,2,12,0
-12.4,120.9666666667,4,8,0
-12.8833333333,120.9,2,16,0
-13,121.0666666667,2,10,0
-12.7166666667,120.7333333333,3,8,0
-12.7833333333,120.7,1,9,0
-12.7,121,2,13,0
-12.4333333333,113.2,3,7,0
-12.4833333333,113.2,0,3,0
-13.1666666667,114.0833333333,2,7,0
-12.85,109.15,4,7,2
-12.25,108.25,2,3,0
-11.2,121.1666666667,2,3,0
-11.6166666667,120.2666666667,25,7,14
-12.1166666667,120.5,0,10,0
-14.1666666667,117.4166666667,0,3,12
-14.0166666667,116.6666666667,0,4,7
-13.9166666667,116.5666666667,2,7,12
-13.7833333333,116.5166666667,2,2,5
-13.0833333333,116.7333333333,0,0,3
-12.8,116.75,0,4,4
-13.3166666667,116.7333333333,4,4,0
-12.7,116.5666666667,2,6,16
-12.3166666667,116.1166666667,0,0,0
-12.6833333333,115.5833333333,0,6,0
-12.65,115.95,2,3,3
-13.1666666667,115.35,0,3,0
-12.6666666667,112.9833333333,3,21,3
-12.35,112.8166666667,3,14,8
-12.5166666667,113.1,8,15,4
-12.4833333333,113.4333333333,3,12,2
-12.0666666667,113.0666666667,3,4,0
-12.1833333333,113.3333333333,4,10,2
-12.3833333333,113.25,6,11,20
-12.2166666667,113.1166666667,2,3,5
-12,113.7,3,2,0
-11.6333333333,113.1,2,2,8
-11.6666666667,118.9333333333,0,7,0
-11.1666666667,119.3166666667,0,2,0
-12.0833333333,114.5333333333,2,8,0
-11.6,114.4666666667,0,0,0
-12.1,113.9,3,0,0
-12.75,113.4166666667,5,0,0
-12.3333333333,112.3833333333,2,4,0
-12.35,118.9166666667,0,6,0
-13.05,119.1,0,9,0
-13.0666666667,119.05,7,8,0
-13,119.0166666667,7,9,0
-12.65,118.4666666667,2,6,0
-12.1166666667,117.9333333333,0,8,0
-11.8666666667,117.2,0,2,0
-10.5833333333,123.8333333333,9,9,0
-10.6666666667,123.8333333333,5,9,0
-10.7333333333,123.6666666667,13,2,0
-12.5666666667,120.3666666667,2,6,0
-12.65,119.6333333333,6,7,0
-12.35,119.2,0,10,0
-13.4833333333,120.5333333333,0,7,0
-12.8333333333,121.2166666667,7,8,0
-12.2,121.6166666667,2,17,0
-12.2833333333,121.8333333333,2,16,0
-12.2666666667,121.7666666667,0,19,0
-12.0666666667,117.2,2,11,0
-12.35,121.6,0,13,0
-12.3,121.5,5,2,0
-11.8833333333,121.9,0,2,0
-12.1166666667,119.5166666667,0,11,0
-12.05,120.0833333333,2,3,0
-12.2333333333,120.4166666667,5,3,2
-11.7166666667,120.7333333333,5,11,0
-11.9166666667,120.7666666667,5,16,0
-11.85,120.6666666667,4,5,0
-12.0666666667,120.9833333333,3,16,0
-11.6666666667,117.3166666667,7,4,0
-12.1833333333,117.5333333333,2,3,0
-12.8666666667,117.6666666667,4,0,0
-12.1166666667,118.0833333333,4,7,0
-12.75,118.3333333333,13,0,0
-13.2833333333,117.8333333333,2,13,0
-13.3333333333,117.8666666667,12,5,0
-12.6666666667,115.6666666667,4,5,0
-12.4833333333,115.3833333333,2,6,0
-12.9666666667,114.9,0,6,0
-13.5,113.75,2,6,0
-12.6333333333,114.1,6,5,0
-12.3333333333,113.4,0,6,0
-12.3666666667,114.8166666667,0,6,0
-12.0333333333,114.3833333333,4,3,0
-12.4666666667,115.1166666667,0,5,0
-10.9333333333,123.4333333333,6,7,0
-10.4833333333,124.4,13,11,0
-10.1666666667,124.75,25,11,0
-10.3666666667,125.0833333333,33,12,0
-10.3333333333,125.1666666667,17,16,0
-10.5333333333,125.1666666667,15,11,0
-11.45,121.3333333333,10,12,0
-12.4333333333,121.4166666667,3,5,0
-12.6166666667,121.9666666667,0,2,0
-11.95,120.9666666667,2,0,0
-11.5333333333,121.5,2,4,0
-12,121.5,7,0,0
-12.0166666667,121.5,29,2,0
-13.25,116.1833333333,3,3,0
-12.9166666667,115.7166666667,2,5,0
-12.5666666667,115.1666666667,2,8,0
-12.7333333333,114.9,3,4,0
-13.5,113.75,0,9,6
-14.2166666667,114.3333333333,0,8,5
-13.7666666667,114.8333333333,3,2,3
-12.4166666667,115.4166666667,0,5,0
-12.1333333333,121.5333333333,2,5,0
-12.3,121,0,10,0
-12.0666666667,121,2,8,0
-12.3833333333,121.4166666667,0,6,0
-11.5833333333,121.3,0,18,2
-13.4166666667,121.4833333333,0,4,0
-11.8166666667,121.0666666667,0,8,0
-10.4666666667,124.7666666667,2,0,0
-10.45,125.2,14,10,0
-10.3833333333,125.45,24,20,0
-10.8333333333,125.8,24,12,0
-10.6166666667,124.85,35,15,0
-10.3333333333,125,3,2,0
-10.5,124.25,4,2,0
-10.4333333333,123,78,2,0
-10.35,123.8666666667,83,6,0
-10.25,123.0333333333,2,2,0
-12.0666666667,121.0833333333,6,8,0
-11.9166666667,121.9166666667,4,2,0
-10.1333333333,125.7833333333,15,3,0
-10.75,124.65,6,5,0
-10.1166666667,124.9666666667,18,7,0
-10.2,124.8666666667,8,12,0
-10.1666666667,124.9,18,10,0
-10.25,124.5,2,2,0
-10.25,122.8166666667,13,0,0
-10.1666666667,123,10,2,0
-10.3833333333,125.1333333333,23,2,0
-10.55,125,24,2,0
-10.5,124.6666666667,12,2,0
-10.3333333333,122.9666666667,2,4,0
-11.25,120.6166666667,2,2,0
-11.1166666667,121.1333333333,14,0,0
-10.4166666667,122.4666666667,6,2,0
-11.5333333333,118.4833333333,3,2,0
-11.6833333333,117.8333333333,3,10,0
-11.7666666667,117.65,2,13,0
-11.7166666667,117.1166666667,4,2,0
-11.1,116.7333333333,6,6,0
-11.7166666667,115.6,0,8,0
-12.2833333333,114.9,4,3,0
-11.9,114.8666666667,5,3,0
-12.0333333333,113.05,0,0,0
-11.7666666667,113.1666666667,7,11,0
-11.95,112.8333333333,2,5,0
-13.0833333333,112.9680555556,3,7,0
-11.9,112.95,3,3,0
-12.2833333333,113.6666666667,9,6,0
-12.3166666667,113.1,8,2,0
-13.75,113.6166666667,3,5,1
-14.2,113.6,4,13,0
-14.4,113.6333333333,2,15,0
-14.55,113.8833333333,1,10,0
-14.4166666667,113.6333333333,2,12,0
-13.15,113.9,1,2,0
-12.7166666667,112.0166666667,10,13,1
-12.6,111.7,2,6,0
-13.2333333333,113.55,12,3,1
-13.4666666667,112.2833333333,6,7,0
-12.9333333333,112.4666666667,1,5,1
-12.6666666667,113.0833333333,4,9,0
-13.0166666667,112.3,4,2,1
-13.75,113.7333333333,1,19,0
-13.4833333333,114.2,1,26,2
-13.5833333333,113.8,3,13,0
-14,114.4166666667,2,11,1
-13.0833333333,113.25,5,19,0
-13.6166666667,113.4666666667,2,9,3
-13.25,113.5833333333,1,5,0
-13.2,113.7166666667,9,8,0
-13.9333333333,113.3833333333,6,11,0
-13.8833333333,113.3833333333,3,9,0
-14.4166666667,113.2333333333,1,5,0
-13.6833333333,113.0166666667,2,8,0
-13.45,113.2666666667,8,3,0
-14.9166666667,112.0333333333,2,3,0
-14.8333333333,113.0666666667,0,1,0
-14.15,113.0666666667,3,15,0
-13.9166666667,113.0833333333,3,6,0
-14.8,113.1333333333,1,11,0
-13,112.75,1,18,0
-15.5333333333,112.95,2,20,0
-15.3,112.4,2,18,0
-14.6666666667,112.5666666667,2,9,0
-16.0333333333,112.85,2,6,0
-14.6833333333,112.8,0,12,0
-13.1833333333,111.0833333333,1,11,1
-13.2166666667,111.3333333333,5,4,5
-13.6666666667,110.4333333333,1,9,0
-13.8,111.0833333333,3,9,0
-13.75,111.0833333333,7,11,0
-13.8833333333,111.3,1,5,0
-13.4833333333,111.5833333333,1,11,2
-13.1166666667,111.5166666667,1,5,1
-13.0833333333,111.0666666667,0,1,0
-13,111.5166666667,4,10,0
-13.45,112.6666666667,3,13,0
-13.3666666667,112.45,8,15,0
-12.3333333333,113.6666666667,2,0,0
-12.6166666667,112.3,2,2,1
-13.4,112.4,7,14,2
-13.8666666667,112.3333333333,2,15,0
-13.55,112.7666666667,9,5,0
-13.6,113.2166666667,7,10,2
-14.3666666667,113.3666666667,1,2,0
-13.6,110,6,20,0
-14.4333333333,112.4,13,11,0
-13.3,112.9166666667,3,13,0
-12.1333333333,112.7666666667,1,3,0
-13.1,118.0166666667,3,5,0
-13.4,117.85,1,6,0
-13.2666666667,117.4833333333,4,1,2
